0  OUTPUT: $18. | ANSWER: 18 | EVALUATION: True
1  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
2  OUTPUT: $70,000. | ANSWER: 70000 | EVALUATION: False
3  OUTPUT: 540 | ANSWER: 540 | EVALUATION: True
4  OUTPUT: 20. | ANSWER: 20 | EVALUATION: True
5  OUTPUT: $64. | ANSWER: 64 | EVALUATION: True
6  OUTPUT: 260. | ANSWER: 260 | EVALUATION: True
7  OUTPUT: 100 | ANSWER: 160 | EVALUATION: False
8  OUTPUT: 315 | ANSWER: 45 | EVALUATION: False
9  OUTPUT: $460. | ANSWER: 460 | EVALUATION: True
10  OUTPUT: 366. | ANSWER: 366 | EVALUATION: True
11  OUTPUT: $694. | ANSWER: 694 | EVALUATION: True
12  OUTPUT: Carlos | ANSWER: 13 | EVALUATION: False
13  OUTPUT: 36. | ANSWER: 18 | EVALUATION: False
14  OUTPUT: 60%. | ANSWER: 60 | EVALUATION: False
15  OUTPUT: To | ANSWER: 125 | EVALUATION: False
16  OUTPUT: 230 | ANSWER: 230 | EVALUATION: True
17  OUTPUT: 57500 | ANSWER: 57500 | EVALUATION: True
18  OUTPUT: 7. | ANSWER: 7 | EVALUATION: True
19  OUTPUT: 1.5 | ANSWER: 6 | EVALUATION: False
20  OUTPUT: 352/3 | ANSWER: 15 | EVALUATION: False
21  OUTPUT: 2. | ANSWER: 14 | EVALUATION: False
22  OUTPUT: 7. | ANSWER: 7 | EVALUATION: True
23  OUTPUT: 8 | ANSWER: 8 | EVALUATION: True
24  OUTPUT: $26. | ANSWER: 26 | EVALUATION: True
25  OUTPUT: 2. | ANSWER: 2 | EVALUATION: True
26  OUTPUT: $243. | ANSWER: 243 | EVALUATION: True
27  OUTPUT: $16.00. | ANSWER: 16 | EVALUATION: False
28  OUTPUT: 25 | ANSWER: 25 | EVALUATION: True
29  OUTPUT: $104. | ANSWER: 104 | EVALUATION: True
30  OUTPUT: 109. | ANSWER: 109 | EVALUATION: True
31  OUTPUT: (2.75/3)x | ANSWER: 80 | EVALUATION: False
32  OUTPUT: 35 | ANSWER: 35 | EVALUATION: True
33  OUTPUT: 70. | ANSWER: 70 | EVALUATION: True
34  OUTPUT: 23. | ANSWER: 23 | EVALUATION: True
35  OUTPUT: 9. | ANSWER: 9 | EVALUATION: True
36  OUTPUT: $75.00. | ANSWER: 75 | EVALUATION: False
37  OUTPUT: 2. | ANSWER: 2 | EVALUATION: True
38  OUTPUT: 10 | ANSWER: 10 | EVALUATION: True
39  OUTPUT: 18 | ANSWER: 18 | EVALUATION: True
40  OUTPUT: To | ANSWER: 8 | EVALUATION: False
41  OUTPUT: Polly | ANSWER: 200 | EVALUATION: False
42  OUTPUT: 26. | ANSWER: 26 | EVALUATION: True
43  OUTPUT: 80 | ANSWER: 48 | EVALUATION: False
44  OUTPUT: $20.00. | ANSWER: 20 | EVALUATION: False
45  OUTPUT: 44 | ANSWER: 104 | EVALUATION: False
46  OUTPUT: 117. | ANSWER: 163 | EVALUATION: False
47  OUTPUT: $800. | ANSWER: 800 | EVALUATION: True
48  OUTPUT: 8. | ANSWER: 8 | EVALUATION: True
49  OUTPUT: 30. | ANSWER: 30 | EVALUATION: True
50  OUTPUT: $294. | ANSWER: 294 | EVALUATION: True
51  OUTPUT: 5 | ANSWER: 5 | EVALUATION: True
52  OUTPUT: 15. | ANSWER: 15 | EVALUATION: True
53  OUTPUT: Thursday. | ANSWER: 40 | EVALUATION: False
54  OUTPUT: 33. | ANSWER: 40 | EVALUATION: False
55  OUTPUT: 14 | ANSWER: 14 | EVALUATION: True
56  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
57  OUTPUT: 83. | ANSWER: 83 | EVALUATION: True
58  OUTPUT: $23.00. | ANSWER: 57 | EVALUATION: False
59  OUTPUT: 187. | ANSWER: 187 | EVALUATION: True
60  OUTPUT: 17. | ANSWER: 17 | EVALUATION: True
61  OUTPUT: $1430. | ANSWER: 1430 | EVALUATION: True
62  OUTPUT: $1,875/year. | ANSWER: 25000 | EVALUATION: False
63  OUTPUT: $1596. | ANSWER: 1596 | EVALUATION: True
64  OUTPUT: 300 | ANSWER: 300 | EVALUATION: True
65  OUTPUT: 36 | ANSWER: 36 | EVALUATION: True
66  OUTPUT: 48. | ANSWER: 48 | EVALUATION: True
67  OUTPUT: 595. | ANSWER: 595 | EVALUATION: True
68  OUTPUT: 36. | ANSWER: 36 | EVALUATION: True
69  OUTPUT: $60. | ANSWER: 60 | EVALUATION: True
70  OUTPUT: $7425.00. | ANSWER: 7425 | EVALUATION: False
71  OUTPUT: 3x. | ANSWER: 60 | EVALUATION: False
72  OUTPUT: $221. | ANSWER: 221 | EVALUATION: True
73  OUTPUT: $255. | ANSWER: 255 | EVALUATION: True
74  OUTPUT: $88. | ANSWER: 88 | EVALUATION: True
75  OUTPUT: 7.5 | ANSWER: 60 | EVALUATION: False
76  OUTPUT: 5 | ANSWER: 5 | EVALUATION: True
77  OUTPUT: 100 | ANSWER: 100 | EVALUATION: True
78  OUTPUT: $6. | ANSWER: 6 | EVALUATION: True
79  OUTPUT: $70. | ANSWER: 70 | EVALUATION: True
80  OUTPUT: 10 | ANSWER: 10 | EVALUATION: True
81  OUTPUT: 17. | ANSWER: 17 | EVALUATION: True
82  OUTPUT: 623 | ANSWER: 623 | EVALUATION: True
83  OUTPUT: 600. | ANSWER: 600 | EVALUATION: True
84  OUTPUT: 15. | ANSWER: 15 | EVALUATION: True
85  OUTPUT: 44. | ANSWER: 44 | EVALUATION: True
86  OUTPUT: 22. | ANSWER: 22 | EVALUATION: True
87  OUTPUT: $780. | ANSWER: 9360 | EVALUATION: False
88  OUTPUT: 8,000. | ANSWER: 8000 | EVALUATION: False
89  OUTPUT: $18. | ANSWER: 24 | EVALUATION: False
90  OUTPUT: 225 | ANSWER: 225 | EVALUATION: True
91  OUTPUT: 28. | ANSWER: 28 | EVALUATION: True
92  OUTPUT: Jackson | ANSWER: 4 | EVALUATION: False
93  OUTPUT: Gerald | ANSWER: 36 | EVALUATION: False
94  OUTPUT: 348. | ANSWER: 348 | EVALUATION: True
95  OUTPUT: 40. | ANSWER: 40 | EVALUATION: True
96  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
97  OUTPUT: 12 | ANSWER: 12 | EVALUATION: True
98  OUTPUT: 25. | ANSWER: 5 | EVALUATION: False
99  OUTPUT: 62. | ANSWER: 58 | EVALUATION: False
100  OUTPUT: 175. | ANSWER: 175 | EVALUATION: True
101  OUTPUT: 9.75 | ANSWER: 6 | EVALUATION: False
102  OUTPUT: 26 | ANSWER: 26 | EVALUATION: True
103  OUTPUT: 140 | ANSWER: 140 | EVALUATION: True
104  OUTPUT: 500. | ANSWER: 500 | EVALUATION: True
105  OUTPUT: 20. | ANSWER: 20 | EVALUATION: True
106  OUTPUT: 72 | ANSWER: 72 | EVALUATION: True
107  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
108  OUTPUT: 50. | ANSWER: 50 | EVALUATION: True
109  OUTPUT: $28.00. | ANSWER: 28 | EVALUATION: False
110  OUTPUT: 45. | ANSWER: 45 | EVALUATION: True
111  OUTPUT: 16 | ANSWER: 16 | EVALUATION: True
112  OUTPUT: 24. | ANSWER: 24 | EVALUATION: True
113  OUTPUT: 25. | ANSWER: 25 | EVALUATION: True
114  OUTPUT: 6. | ANSWER: 6 | EVALUATION: True
115  OUTPUT: $90. | ANSWER: 90 | EVALUATION: True
116  OUTPUT: 42. | ANSWER: 42 | EVALUATION: True
117  OUTPUT: $360. | ANSWER: 360 | EVALUATION: True
118  OUTPUT: 4. | ANSWER: 4 | EVALUATION: True
119  OUTPUT: $99077.69. | ANSWER: 95200 | EVALUATION: False
120  OUTPUT: 240. | ANSWER: 240 | EVALUATION: True
121  OUTPUT: 27. | ANSWER: 27 | EVALUATION: True
122  OUTPUT: 48. | ANSWER: 48 | EVALUATION: True
123  OUTPUT: 50 | ANSWER: 50 | EVALUATION: True
124  OUTPUT: 10. | ANSWER: 10 | EVALUATION: True
125  OUTPUT: 10. | ANSWER: 10 | EVALUATION: True
126  OUTPUT: 82. | ANSWER: 82 | EVALUATION: True
127  OUTPUT: 120. | ANSWER: 120 | EVALUATION: True
128  OUTPUT: $880. | ANSWER: 880 | EVALUATION: True
129  OUTPUT: $10,000. | ANSWER: 10000 | EVALUATION: False
130  OUTPUT: 30. | ANSWER: 30 | EVALUATION: True
131  OUTPUT: $940. | ANSWER: 940 | EVALUATION: True
132  OUTPUT: 60. | ANSWER: 60 | EVALUATION: True
133  OUTPUT: 13. | ANSWER: 13 | EVALUATION: True
134  OUTPUT: $720. | ANSWER: 720 | EVALUATION: True
135  OUTPUT: 40. | ANSWER: 40 | EVALUATION: True
136  OUTPUT: 6. | ANSWER: 6 | EVALUATION: True
137  OUTPUT: $29.00. | ANSWER: 29 | EVALUATION: False
138  OUTPUT: 105. | ANSWER: 105 | EVALUATION: True
139  OUTPUT: 0. | ANSWER: 70 | EVALUATION: False
140  OUTPUT: 20%. | ANSWER: 20 | EVALUATION: False
141  OUTPUT: 400. | ANSWER: 400 | EVALUATION: True
142  OUTPUT: $1540. | ANSWER: 140 | EVALUATION: False
143  OUTPUT: $16.3. | ANSWER: 16 | EVALUATION: False
144  OUTPUT: $20. | ANSWER: 20 | EVALUATION: True
145  OUTPUT: 4000. | ANSWER: 4000 | EVALUATION: True
146  OUTPUT: 2125. | ANSWER: 2125 | EVALUATION: True
147  OUTPUT: 90. | ANSWER: 75 | EVALUATION: False
148  OUTPUT: $30. | ANSWER: 30 | EVALUATION: True
149  OUTPUT: James | ANSWER: 16 | EVALUATION: False
150  OUTPUT: 4 | ANSWER: 4 | EVALUATION: True
151  OUTPUT: $5. | ANSWER: 5 | EVALUATION: True
152  OUTPUT: $4. | ANSWER: 4 | EVALUATION: True
153  OUTPUT: that | ANSWER: 48 | EVALUATION: False
154  OUTPUT: 272. | ANSWER: 272 | EVALUATION: True
155  OUTPUT: 280 | ANSWER: 280 | EVALUATION: True
156  OUTPUT: 1400. | ANSWER: 1400 | EVALUATION: True
157  OUTPUT: 80 | ANSWER: 80 | EVALUATION: True
158  OUTPUT: $34. | ANSWER: 34 | EVALUATION: True
159  OUTPUT: 7. | ANSWER: 15 | EVALUATION: False
160  OUTPUT: 16 | ANSWER: 16 | EVALUATION: True
161  OUTPUT: 32. | ANSWER: 32 | EVALUATION: True
162  OUTPUT: $92. | ANSWER: 92 | EVALUATION: True
163  OUTPUT: $50. | ANSWER: 50 | EVALUATION: True
164  OUTPUT: $15. | ANSWER: 15 | EVALUATION: True
165  OUTPUT: €77. | ANSWER: 77 | EVALUATION: False
166  OUTPUT: 5. | ANSWER: 5 | EVALUATION: True
167  OUTPUT: Seth | ANSWER: 16 | EVALUATION: False
168  OUTPUT: $18. | ANSWER: 18 | EVALUATION: True
